source_set,split,scenario,image_path,filename,expected_category,note,actual_action_type,actual_category,actual,passed,elapsed_ms
samples_v2,tune,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_01_174435.jpg,face_hidden_in_frame_01_174435.jpg,视线偏移,,phone_call,打电话,考生疑似打电话,False,244.65
samples_v2,tune,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_02_174439.jpg,face_hidden_in_frame_02_174439.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,266.84
samples_v2,tune,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_03_174439.jpg,face_hidden_in_frame_03_174439.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,269.86
samples_v2,tune,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_04_174439.jpg,face_hidden_in_frame_04_174439.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,279.94
samples_v2,tune,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_05_174441.jpg,face_hidden_in_frame_05_174441.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,263.91
samples_v2,tune,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_06_174441.jpg,face_hidden_in_frame_06_174441.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,242.6
samples_v2,tune,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_07_174441.jpg,face_hidden_in_frame_07_174441.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,251.17
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_08_174442.jpg,face_hidden_in_frame_08_174442.jpg,视线偏移,,normal,正常考试,正常考试中,False,212.66
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_09_174442.jpg,face_hidden_in_frame_09_174442.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,246.62
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_10_174443.jpg,face_hidden_in_frame_10_174443.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,280.41
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_11_174443.jpg,face_hidden_in_frame_11_174443.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,286.22
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_12_174444.jpg,face_hidden_in_frame_12_174444.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,214.85
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_13_174444.jpg,face_hidden_in_frame_13_174444.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,211.6
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_14_174445.jpg,face_hidden_in_frame_14_174445.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,234.02
samples_v2,eval,face_hidden_in_frame,assets/test_images/samples_v2/gaze_away/face_hidden_in_frame_15_174445.jpg,face_hidden_in_frame_15_174445.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,242.7
samples_v2,tune,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_01_174448.jpg,head_turn_large_01_174448.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,292.03
samples_v2,tune,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_02_174448.jpg,head_turn_large_02_174448.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,259.86
samples_v2,tune,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_03_174448.jpg,head_turn_large_03_174448.jpg,视线偏移,,normal,正常考试,正常考试中,False,246.43
samples_v2,tune,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_04_174448.jpg,head_turn_large_04_174448.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,227.97
samples_v2,tune,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_05_174450.jpg,head_turn_large_05_174450.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,226.95
samples_v2,tune,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_06_174450.jpg,head_turn_large_06_174450.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,194.42
samples_v2,tune,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_07_174450.jpg,head_turn_large_07_174450.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,209.79
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_08_174451.jpg,head_turn_large_08_174451.jpg,视线偏移,,normal,正常考试,正常考试中,False,212.51
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_09_174451.jpg,head_turn_large_09_174451.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,161.47
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_10_174452.jpg,head_turn_large_10_174452.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,167.41
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_11_174453.jpg,head_turn_large_11_174453.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,163.57
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_12_174453.jpg,head_turn_large_12_174453.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,179.15
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_13_174454.jpg,head_turn_large_13_174454.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,169.08
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_14_174455.jpg,head_turn_large_14_174455.jpg,视线偏移,,normal,正常考试,正常考试中,False,163.71
samples_v2,eval,head_turn_large,assets/test_images/samples_v2/gaze_away/head_turn_large_15_174455.jpg,head_turn_large_15_174455.jpg,视线偏移,,gaze_away,视线偏移,考生视线偏移,True,158.37
samples_v2,tune,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_01_174455.jpg,person_gone_01_174455.jpg,离开座位,,gaze_away,视线偏移,考生视线偏移,False,163.8
samples_v2,tune,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_02_174501.jpg,person_gone_02_174501.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,95.59
samples_v2,tune,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_03_174501.jpg,person_gone_03_174501.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,97.21
samples_v2,tune,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_04_174502.jpg,person_gone_04_174502.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,98.6
samples_v2,tune,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_05_174502.jpg,person_gone_05_174502.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,98.91
samples_v2,tune,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_06_174502.jpg,person_gone_06_174502.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,119.27
samples_v2,tune,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_07_174509.jpg,person_gone_07_174509.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,102.67
samples_v2,eval,person_gone,assets/test_images/samples_v2/leave_seat/person_gone_08_174509.jpg,person_gone_08_174509.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,102.92
samples_v2,tune,stand_up,assets/test_images/samples_v2/leave_seat/stand_up_01_174537.jpg,stand_up_01_174537.jpg,离开座位,,gaze_away,视线偏移,考生视线偏移,False,216.06
samples_v2,tune,stand_up,assets/test_images/samples_v2/leave_seat/stand_up_02_174540.jpg,stand_up_02_174540.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,168.15
samples_v2,tune,stand_up,assets/test_images/samples_v2/leave_seat/stand_up_03_174542.jpg,stand_up_03_174542.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,98.66
samples_v2,tune,stand_up,assets/test_images/samples_v2/leave_seat/stand_up_04_174542.jpg,stand_up_04_174542.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,96.06
samples_v2,tune,stand_up,assets/test_images/samples_v2/leave_seat/stand_up_05_174543.jpg,stand_up_05_174543.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,122.62
samples_v2,tune,stand_up,assets/test_images/samples_v2/leave_seat/stand_up_06_174543.jpg,stand_up_06_174543.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,151.42
samples_v2,tune,stand_up,assets/test_images/samples_v2/leave_seat/stand_up_07_174543.jpg,stand_up_07_174543.jpg,离开座位,,leave_seat,离开座位,考生离开座位,True,126.16
samples_v2,tune,turn_body_left_90,assets/test_images/samples_v2/leave_seat/turn_body_left_90_01_174519.jpg,turn_body_left_90_01_174519.jpg,视线偏移,坐着转身,turn_body,离开座位,离开座位(考生转身),False,168.02
samples_v2,tune,turn_body_left_90,assets/test_images/samples_v2/leave_seat/turn_body_left_90_02_174519.jpg,turn_body_left_90_02_174519.jpg,视线偏移,坐着转身,turn_body,离开座位,离开座位(考生转身),False,183.41
samples_v2,tune,turn_body_left_90,assets/test_images/samples_v2/leave_seat/turn_body_left_90_03_174519.jpg,turn_body_left_90_03_174519.jpg,视线偏移,坐着转身,turn_body,离开座位,离开座位(考生转身),False,183.02
samples_v2,tune,turn_body_left_90,assets/test_images/samples_v2/leave_seat/turn_body_left_90_04_174520.jpg,turn_body_left_90_04_174520.jpg,视线偏移,坐着转身,turn_body,离开座位,离开座位(考生转身),False,168.8
samples_v2,tune,turn_body_right_90,assets/test_images/samples_v2/leave_seat/turn_body_right_90_01_174527.jpg,turn_body_right_90_01_174527.jpg,视线偏移,坐着转身,turn_body,离开座位,离开座位(考生转身),False,201.85
